id,lane,kind,severity,step,expected,actual,compare,repro
L2-11,L2,cannot,3,劇本2 使用者當收件人,其他 agent 可以 aos say --to ~ 把信寄給使用者，使用者在 ~ 讀得到,(a) --to 吃的是聯絡人名字不是路徑，shell 又會先把 ~ 展開，所以 aos say --to ~ 變成查一個叫 /home/lorkhan 的聯絡人 → 「通訊錄裡沒有 /home/lorkhan」，錯誤訊息也不提示要加引號；要 '~' 加引號並登記一個名字就叫 ~ 的聯絡人才行。(b) 更根本：收件人必須先被 aos agent init 成一隻完整的 LLM agent，沒有「只有信箱、沒有 CPU」的一等端點——實測用一隻 init 了但從不 aos run 的休眠 agent 可以充當純信箱，但那是權宜、不是設計。(c) 就算收到了也讀不到、也不知道誰寄的——見 L2-12、L2-05,Claude Code 裡使用者本來就是對話的一端，不需要被 init 成一隻 agent,
L2-12,L2,bug,3,劇本2 收回報,aos listen 看得到剛寄到的信,listen 讀的是 log.md，而 log 只有 aos agent step 跑過才會寫。所以未讀信在**任何** aos 指令下都是隱形的：say/ 裡躺著 3 封，aos listen --once 印空白 exit 0，history.json 仍是 {messages:[]}。唯一辦法是自己 ls .aos/agents/<name>/say/。也就是說使用者要讀信就得先燒一次 LLM,Claude Code 的訊息一到就在畫面上，不需要先跑一回合模型,repro/L2-07.sh
L2-13,L2,awkward,2,劇本3 看誰在忙,agent 在跑 LLM 的時候看得出它在忙,aos run 只在一回合**做完**才印 turn N: ...；一次 step 卡在 LLM 呼叫時（實測 pi/deepseek 卡 60 秒以上）run 的 log 是 0 bytes、aos state 還是 idle、狀態時間戳也不動。要確認它沒死只能去 ps 找 aos agent step 這個行程,Claude Code 全程有 spinner 與工具呼叫串流，看得到它在做什麼,
L2-14,L2,bug,2,劇本4 限制與排程,同一個世界不會被兩條 loop 同時推,在同一個世界同時開兩個 aos run，兩邊都成功、回合號互相穿插（兩條各推 2 回合，最終 turn 只到 3），沒有鎖、沒有警告。派隊時不小心對同一個 worker 開兩條 loop 會讓它一回合被推兩次。**這也是「孤兒 step」的來源**：單獨一條 run 其實會等 inst 做完才收線（實測 --step 1 等滿 6 秒），但兩條重疊時，先收線的那條會留下另一條還在跑的 aos agent step，看起來就像沒人認領,,repro/L2-14.sh
L2-15,L2,awkward,2,劇本1 派工,隊長站在 team/ 就能對全隊投遞,通訊錄綁在世界上、且只有站在那個世界（或其子目錄）裡才查得到。在 team/ 底下 aos say --to w1 得到「通訊錄裡沒有 w1」。沒有隊層級的名冊，隊長要投遞就得先 cd 進 boss 世界,Claude Code 不管你在哪個目錄都派得動隊員,
L2-16,L2,ok,0,劇本2 主世界推子世界,主世界的 every/ inst 推得動子世界,"可用。main/.aos/every/sub1.json 放 {argv:[aos,run,sub1,--step,1]}，aos run --step 3 時每回合 3 個 inst，兩個子世界的 turn 都跟著前進、exit 0、stderr 空。另外 find_folder 行為正確：在 sub1/ 裡下 aos say 落在 sub1 自己的 say/，不會誤指 main",比起三個視窗各開一個 aos run，這條路確實比較像「一隻主 agent 帶隊」,
L2-17,L2,awkward,2,劇本4 限制與排程,三隻 agent 共用一顆 LM Studio 時看得出誰在排隊,三個 aos run --step 3 同時打同一顆 lmstudio：全部正常完成，沒有卡死、報錯或逾時（boss 2.377s／w1 9.034s／w2 1.826s，整批約 9.04s）。但 CLI 從頭到尾沒有任何排隊、等待位置或等待原因的提示，w1 慢了 5 倍是排隊、生成較久還是別的原因無從判斷，只能靠 turn 耗時反推。（同時另一隊也在打同一顆，本次數字含跨隊競用）,,
L2-18,L2,awkward,1,沙箱衛生,各操作者的世界互不干擾,通訊錄與信箱都是純檔案、無擁有者概念，三個操作者共用 team/ 時互相把聯絡人與訊息寫進對方世界（實測 boss 收到了別條線的『2+2 是多少』、w1 的通訊錄被塞進一個叫 ~ 的聯絡人）。沒有任何指令看得出一個聯絡人／一封信是誰加的、什麼時候加的,,
L2-19,L2,awkward,2,劇本1 派工,看得出一隻 worker 實際拿得到哪些工具,aos tool ls 印的是**世界層**登記表，完全不看 agent 自己的 tools.json 白名單。把 w 的 tools.json 設成 [] （全部停用）之後，aos tool ls 照樣列出 cat／ls／sh。也沒有 aos agent tools 之類的子命令。隊長要確認一個隊員的能力邊界只能自己去 cat .aos/agents/<name>/tools.json,Claude Code 的 agent 定義裡工具清單是寫在一起的，看一眼就知道,
L2-20,L2,bug,1,劇本3 看誰在忙,batch out 的耗時能分辨哪一條 inst 慢,ended_at 記的是**整批**的結束時刻，不是每條 inst 自己的：一條 true（瞬間）與一條 sleep 3 放同一回合，兩者 ended_at 完全相同，於是每條看起來都跑滿整個回合。要找出是誰拖慢一回合，這份資料幫不上忙,,repro/L2-20.sh
L2-21,L2,bug,2,錯誤指路,aos tool add 指到不存在的執行檔時，說「執行檔不存在」,把 exec 失敗誤報成缺少表述：「aos tool: 探測不到表述，請用 --description 手填；探測行程退出碼是 127」。127 明明就是 command not found，訊息卻把使用者導去補 --description——照著做也不會成功。工具最後也沒登記，但要跑 aos tool ls 才知道,,repro/L2-21.sh
L2-22,L2,bug,1,錯誤指路,重複旗標被拒絕,aos run --step 1 --step 2 完全不報錯，靜默採用最後一個（真的跑了 2 回合，連帶把兩個子世界也推了）。使用者下錯參數看不出來,,repro/L2-21.sh
L2-23,L2,awkward,1,錯誤指路,投錯聯絡人時看得到有效名單,aos say --to nobody 只回「aos 通訊錄裡沒有 nobody」，不列出通訊錄上有誰、也不提示 aos contact add／aos contact ls。知道原因但沒有下一步,Claude Code 派錯 agent 名時會列出有效的 agent types,
L2-24,L2,awkward,2,劇本3 看誰在忙,世界的 turn 與 agent 的 turn 一致，running 反映現實,忙碌時三份狀態會互相矛盾，且沒有文件說何者為準：(a) boss 忙碌時世界 state.json 是 turn 2／phase running，同一份檔案裡的 agents.boss 卻是 turn 1／idle；(b) aos state 印 turn 1（時間戳 11:02:50）而 state.json 印 turn 2（時間戳 11:01:50）——較新的時間戳配較舊的 turn；(c) 曾看到 phase 停在 running 並列著已不存在的 PID。**注意：空閒時三者一致，上述只在有 LLM 在跑或多條 loop 重疊時出現，目前沒有穩定重現腳本**；(a)(b) 由兩位操作者各自獨立觀察到,,
L2-25,L2,awkward,2,劇本3 看誰在忙,一個指令答完「誰在忙」,實測要 9 個 shell 指令才摸清（最少 3 個：cd boss && aos state、aos agent state ../w1 w1、aos agent state ../w2 w2）。而且這 3 個還答不對，因為狀態不反映未讀信（L2-07）,Claude Code 一個畫面就是全隊 running／idle／done,
L2-26,L2,spec-gap,3,劇本1 派工,把信投出去，收信方遲早會處理它,投遞不會喚醒任何 loop。實測照劇本「先開背景 aos run --step 6、再 aos say」，loop 在 say 落盤前 3 ms 就把 6 回合跑完（每回合 3 ms，因為沒訊息就不呼叫 LLM），訊息完整卡在 say/ 沒人吃，得再補一次 aos run 才處理。--step N 的 N 要猜多大全看運氣，而 --step 0 常駐又被規定不留。等於「派工」和「對方會不會做」是兩件沒有連起來的事,Claude Code 派任務就是啟動，不需要另外確保對方的 loop 還活著,
L2-27,L2,spec-gap,3,劇本1 稽核,看得到 agent 實際被送出去的內容,history.json 只有 user／assistant，**沒有 role:system**；實際送出的 system prompt（人格＋工具清單）哪裡都沒存，batch 的 inst/out 也只記 aos agent step 這個 argv。所以「boss 到底知不知道 w1」無法從紀錄證實，只能讀原始碼。pi 引擎更糟：工具往返完全不進 history，listen 只印一行「> pi 用了工具：bash …」，call/result 沒有結構化紀錄,Claude Code 的工具呼叫與結果逐條可見,
L2-28,L2,bug,2,劇本1 稽核,agent 不能竄改自己的對話紀錄,agent 只要有 sh（預設就有）或 pi 自帶的 bash，就能直接 >> .aos/agents/<name>/log.md append 假的回合。實測 pi 版 boss 自己往 log.md 寫了一則「## turn 2 boss 已用 aos say --to w1 …」。log.md／history.json 沒有任何保護，而 listen 讀的正是 log.md——回報可以被偽造,,repro/L2-28.sh
