id,lane,kind,severity,step,expected,actual,compare,repro
L1-16,L1,bug,2,錯誤路徑 模型不存在,模型名打錯要報錯,echo hi | AOS_LLM_MODEL=no/such-model aos llm 正常回了一段英文答覆、exit=0。aos 不驗證模型名也不回報實際回答的是誰；agent 走同一條路，於是「我以為在用 A 模型、其實是 B」在 aos 這一層完全查不出來,pi 指定不存在的模型會直接報錯,repro/L1-16.sh
L1-17,L1,bug,3,錯誤路徑 pi 沒有 API key,pi 跑失敗時世界要看得出來失敗了,D 隊實測：pi 因為沒有 key 失敗後，status.json 仍是 status=idle（只有 detail 變成「pi 失敗」）；.aos/batch/1/out/agent-pi-1.json 記的是 exit=0，於是 aos run 印出一條跟成功一樣的 turn 行。只有 listen 進 log.md 才看得到失敗原文,pi 自己失敗就是非 0 exit＋一行紅字，看不到都難,repro/L1-17.sh
L1-18,L1,awkward,2,錯誤路徑 pi 沒有 API key,錯誤訊息要說「去設 DEEPSEEK_API_KEY」,實際透出來的是 pi 自己的話：「No API key found for deepseek. Use /login to log into a provider via OAuth or API key.」外加一個「No project session found with id ...; creating a new session」的警告。aos 文件說 key 走環境變數，錯誤卻叫人去 pi 裡面跑 /login；agent init --engine pi 當下也完全沒提過需要 key,直接跑 pi 的人本來就在 pi 的介面裡，/login 這句話對他是有效指路,-
L1-19,L1,bug,3,錯誤路徑 端點連不上,LM Studio 沒開時要有人告訴我,把端點指到沒人聽的 port 推 2 回合：run 印兩條正常的 turn 行、exit 0；state 仍 status=idle、detail=等待訊息；listen 只看得到使用者自己那句話。錯誤原文「aos agent: LLM 連線失敗: Failed to connect to localhost port 19999 ...」與 inner exit=1 只寫在 .aos/batch/<turn>/out/*.json——沒有任何 aos 指令會帶你去那裡,pi 連不上就在同一個前景指令印錯誤並非 0 結束，1 個指令,repro/L1-19.sh
L1-20,L1,bug,3,錯誤路徑 端點連不上之後,那一回合失敗了，我的話應該還在,失敗的那一回合就把 .aos/agents/<name>/say/ 的檔案吃掉了（未讀 1 → 0），只在 log.md 留下一行 user；端點修好後再推 4 回合，agent 沒有任何回覆——那句話永遠不會被回答，也沒有任何提示說它掉了。一次 LM Studio 沒開，使用者交代的事就這樣消失,pi 是同步的：失敗就當場報錯，話還在你的 shell history 裡，重打一次即可,repro/L1-20.sh
L1-21,L1,cannot,3,劇本1 改函式 推滿 45 回合,45 回合內要改完 4 個檔並 make 通過,A 隊三批共 45 個世界回合、11.93 秒之後 0 個來源檔有差異。有效內容只有 turn 16 提出一個 ls、turn 18 拿到結果之後回了一段空白 assistant，然後一路空轉。追問才讓它重新動作，最後只改了 2 個檔，make 仍因 main.cpp 沒接 optional 而失敗,pi 用 1 個 pi -p 指令、69.27 秒改完 4 個檔並自己跑過 make 回報 ok,-
L1-22,L1,awkward,3,劇本5 指令數總帳,一句話就該完成的事，實際要打幾個指令,三隊獨立量到同一個量級：最小可用一輪（mkdir .aos → agent init → say → run → listen → 驗結果）B 隊 4 個 aos 指令、D 隊 10 個指令 15 回合 26.8 秒才做完「在 README.md 最後加一行」；跑完整改函式劇本 A 與 B 各實打 19 個 aos 指令。而且中間必須永久佔住第二個終端機跑 run,同一件事 pi 都是 1 個 pi -p；追問再 1 個 pi -c -p。D 隊的對照：aos 10 指令 vs pi 1 指令，22.0 秒一次成功,-
L1-23,L1,awkward,3,劇本1 工具往返,工具參數格式錯了，模型應該看一次錯誤就學會,登記表把 sh 宣告成 args: string，模型卻反覆送陣列：D 隊實測「工具 sh 的 args 必須是字串」原文重複 5 次、燒掉 12 回合 25.3 秒才成功；A 隊也在 turn 46 撞一次、turn 47 才改對。三回合往返讓每次犯錯的代價變成 3 個回合,pi 的 bash 工具沒有這層轉譯，A／B／D 三隊的 pi 對照 log 都沒有任何工具參數錯誤,-
L1-24,L1,awkward,2,劇本1 追問跑測試,追問一句「跑一下 make」就該得到測試結論,A 隊實測要 say＋run＋listen 共 3 個 aos 指令、等 9 個世界回合、13.31 秒；而且答案只以原始工具 JSON 的形式出現（exit 0 與 ok 夾在跳脫過的 stdout 裡），沒有一則面向使用者的完成答覆。run 結束時還留著一個沒收回的 pending call,pi 的單一指令結尾直接列出 make 通過與 ok,-
L1-25,L1,awkward,2,劇本3 記憶落在哪,agent 的記憶應該只有一份、而且在世界裡,pi 引擎有兩套記憶且 aos 這份是殘的：B 隊實測 history.json 3602 bytes／8 則最終訊息，同一個 session_id 對應的 ~/.pi/agent/sessions/<把世界路徑打平的長檔名>/*.jsonl 是 32743 bytes／32 則訊息、含 15 個 toolResult。listen 只有工具參數摘要、沒有工具輸出。使用者若不知道 session_id 怎麼對應路徑，根本找不到完整記憶,直接用 pi 只有一份 session；pi -c -p 一個指令就續談,-
L1-26,L1,spec-gap,2,劇本1 工具登記表對哪個引擎有效,aos tool ls 列的東西就是我的 agent 能做的事,兩套互不知道對方的工具觀念：把世界工具全部 aos tool rm、白名單設成 []（README 說的「全部停用」）之後，pi agent 照樣改掉 note.txt、照樣讀到世界之外的 ../outside/secret.txt——它用的是自己內建的 read／bash／edit／write。反過來 aos tool ls 也永遠不會列出 pi 那組。B 隊還一度讀到祖先世界的 5 個登記檔（乾淨重跑才對），代表使用者連「現在算哪一套」都判不準,直接用 pi 只有一組內建工具，pi --help 一次列完，沒有第二套帳,repro/L1-26.sh
L1-27,L1,spec-gap,2,劇本1 選 CPU,「用 pi」在 aos 內外應該是同一顆腦,裸 pi 預設走 openai-codex／gpt-5.6-sol（B 隊實測 62.31 秒），aos agent init --engine pi 預設走 deepseek／deepseek-v4-flash（17.84 秒）。同一句「我用 pi」在兩邊是兩個不同的模型與帳單，init 不印、文件也只在 README 深處提一句,使用者自己指定同 provider／model 時，pi 1 個指令 15.53 秒——比 aos 這條路少 2.31 秒,-
L1-28,L1,awkward,1,錯誤路徑 工具子命令,tool list／tool remove 這種直覺名稱該能用或該被指路,aos tool list 與 aos tool remove nosuchtool 都是 exit 2 印出完整 usage（真名是 ls／rm）；但頂層 aos --help 對 tool 的一行說明寫的是「登記／列出／移除這個世界可用的工具」，指向的正是 list／remove 這組詞,pi 沒有工具登記這一層，1 個指令直接交代任務,-
L1-29,L1,cannot,1,錯誤路徑 不存在的工具,用自然語言要一個沒登記的工具，該在 listen 看到 unknown_tool,D 隊推 6 回合都走不到這條路：模型不會去要 make，而是改呼叫已登記的 sh，於是實際看到的是「工具 sh 的 args 必須是字串」。README 記載的 unknown_tool 一行 JSON 在整場實測裡沒有出現過，這條錯誤路徑對使用者是走不到的,pi 直接用內建 bash 跑 make，沒有「工具沒登記」這個概念,-
L1-30,L1,bug,3,劇本2 Ctrl-C 中斷,Ctrl-C 要停掉整棵行程並留下可辨識的中斷狀態,C 隊實測 SIGINT 只殺掉 timeout 與 aos run；孫行程 aos agent step 活著變成孤兒，接著自己把 turn 19 一路跑到 turn 27——使用者以為停了，世界其實還在燒 LLM 並改他的檔。中斷當下 batch/19 只有 insts 沒有 out；重開 run 直接從 turn 28 開始，沒有任何「上次跑到一半」的提示,pi 前台 Ctrl-C 立即 exit 1、0 個孤兒；一個 pi --continue -p 指令 12 秒接回 74560-byte session,repro/L1-30.sh
L1-31,L1,bug,2,劇本4 aos talk,talk 要嘛自己推進 agent 要嘛立刻說「請另開一個 run」,沒有 runner 時 echo 你好 | aos talk 等滿 120 秒、0 bytes 輸出、exit 124（被 timeout 殺掉）；state 全程 idle。那句話其實已經被寫進 .aos/agents/<name>/say/ 了（6 bytes），只是永遠不會有人處理。對第一次用的人，這個互動入口看起來就是「工具死了」,pi -p 一個指令就把請求做完（本次 62 秒 exit 0）,repro/L1-31.sh
L1-32,L1,bug,1,劇本4 talk --interface pi,文件說「CLI 會清楚回報它尚未內建」,aos talk --interface pi 在 0 秒 exit 2，唯一的輸出是一行 usage: <path> talk（後面連選項都沒有），完全沒有提到 pi 介面尚未內建這件事。core/agent/README 與 docs/pi-interface.md 承諾的「清楚回報」在 CLI 上不存在,直接用 pi 就是可用的互動介面，1 個指令,repro/L1-32.sh
